LAST SEEN   TYPE      REASON                   OBJECT                                   MESSAGE
7m24s       Normal    Scheduled                pod/dispatch-service-5589cf949c-szzdd    Successfully assigned energy/dispatch-service-5589cf949c-szzdd to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/load-simulator-57fc84dfdf-svs25      Successfully assigned energy/load-simulator-57fc84dfdf-svs25 to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/ops-console-558566cf95-qcw2f         Successfully assigned energy/ops-console-558566cf95-qcw2f to <REDACTED_NODE>
7m23s       Normal    Pulling                  pod/rabbitmq-79d58d7457-g59zg            Pulling image "rabbitmq:3.11-management-alpine"
7m23s       Normal    ProvisioningSucceeded    persistentvolumeclaim/mongodb-data-pvc   Successfully provisioned volume pvc-<REDACTED_UUID>
7m22s       Normal    Pulling                  pod/ops-console-558566cf95-qcw2f         Pulling image "nginx:alpine"
7m22s       Normal    Pulling                  pod/asset-service-c744d6667-lgwwt        Pulling image "ghcr.io/azure-samples/aks-store-demo/product-service:latest"
7m22s       Normal    Pulling                  pod/dispatch-service-5589cf949c-szzdd    Pulling image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest"
7m22s       Normal    Pulling                  pod/grid-dashboard-66cb797c94-2g8fb      Pulling image "nginx:alpine"
7m22s       Normal    Pulling                  pod/grid-dashboard-66cb797c94-66qgc      Pulling image "nginx:alpine"
7m22s       Normal    Pulling                  pod/asset-service-c744d6667-56pqq        Pulling image "ghcr.io/azure-samples/aks-store-demo/product-service:latest"
7m22s       Normal    Scheduled                pod/mongodb-d948b8585-kzcjv              Successfully assigned energy/mongodb-d948b8585-kzcjv to <REDACTED_NODE>
7m21s       Normal    Pulling                  pod/load-simulator-57fc84dfdf-svs25      Pulling image "ghcr.io/azure-samples/aks-store-demo/virtual-customer:latest"
7m21s       Normal    Pulling                  pod/meter-service-5b8f45f67f-5tzlj       Pulling image "ghcr.io/azure-samples/aks-store-demo/order-service:latest"
7m21s       Normal    Pulling                  pod/meter-service-5b8f45f67f-x8m57       Pulling image "ghcr.io/azure-samples/aks-store-demo/order-service:latest"
7m21s       Normal    Pulling                  pod/dispatch-service-5589cf949c-76sb4    Pulling image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest"
7m16s       Normal    Pulled                   pod/dispatch-service-5589cf949c-szzdd    Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest" in 6.352s (6.352s including waiting). Image size: 14820165 bytes.
7m16s       Normal    Pulled                   pod/dispatch-service-5589cf949c-76sb4    Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/makeline-service:latest" in 5.673s (5.673s including waiting). Image size: 14820165 bytes.
7m16s       Normal    Created                  pod/dispatch-service-5589cf949c-76sb4    Created container: dispatch-service
7m16s       Normal    Created                  pod/dispatch-service-5589cf949c-szzdd    Created container: dispatch-service
7m15s       Normal    Started                  pod/dispatch-service-5589cf949c-szzdd    Started container dispatch-service
7m15s       Normal    Started                  pod/dispatch-service-5589cf949c-76sb4    Started container dispatch-service
7m14s       Normal    Pulled                   pod/asset-service-c744d6667-56pqq        Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/product-service:latest" in 8.59s (8.59s including waiting). Image size: 43712575 bytes.
7m14s       Normal    Created                  pod/asset-service-c744d6667-56pqq        Created container: asset-service
7m14s       Normal    Pulled                   pod/asset-service-c744d6667-lgwwt        Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/product-service:latest" in 8.377s (8.377s including waiting). Image size: 43712575 bytes.
7m14s       Normal    Created                  pod/asset-service-c744d6667-lgwwt        Created container: asset-service
7m14s       Normal    Started                  pod/load-simulator-57fc84dfdf-svs25      Started container load-simulator
7m14s       Normal    Created                  pod/load-simulator-57fc84dfdf-svs25      Created container: load-simulator
7m14s       Normal    Pulled                   pod/load-simulator-57fc84dfdf-svs25      Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/virtual-customer:latest" in 6.416s (6.416s including waiting). Image size: 35278630 bytes.
7m13s       Normal    Created                  pod/grid-dashboard-66cb797c94-2g8fb      Created container: grid-dashboard
7m13s       Normal    Started                  pod/asset-service-c744d6667-lgwwt        Started container asset-service
7m13s       Normal    Started                  pod/asset-service-c744d6667-56pqq        Started container asset-service
7m13s       Normal    Started                  pod/grid-dashboard-66cb797c94-66qgc      Started container grid-dashboard
7m13s       Normal    Created                  pod/grid-dashboard-66cb797c94-66qgc      Created container: grid-dashboard
7m13s       Normal    Pulled                   pod/grid-dashboard-66cb797c94-66qgc      Successfully pulled image "nginx:alpine" in 8.699s (8.699s including waiting). Image size: 26013346 bytes.
7m13s       Normal    Started                  pod/ops-console-558566cf95-qcw2f         Started container ops-console
7m13s       Normal    Started                  pod/grid-dashboard-66cb797c94-2g8fb      Started container grid-dashboard
7m13s       Normal    Created                  pod/ops-console-558566cf95-qcw2f         Created container: ops-console
7m13s       Normal    Pulled                   pod/grid-dashboard-66cb797c94-2g8fb      Successfully pulled image "nginx:alpine" in 8.757s (8.757s including waiting). Image size: 26013346 bytes.
7m13s       Normal    Pulled                   pod/ops-console-558566cf95-qcw2f         Successfully pulled image "nginx:alpine" in 8.409s (8.409s including waiting). Image size: 26013346 bytes.
7m12s       Normal    Started                  pod/rabbitmq-79d58d7457-g59zg            Started container rabbitmq
7m12s       Normal    Created                  pod/rabbitmq-79d58d7457-g59zg            Created container: rabbitmq
7m12s       Normal    Pulled                   pod/rabbitmq-79d58d7457-g59zg            Successfully pulled image "rabbitmq:3.11-management-alpine" in 11.049s (11.049s including waiting). Image size: 86219699 bytes.
7m10s       Warning   Unhealthy                pod/grid-dashboard-66cb797c94-2g8fb      Readiness probe failed: Get "http://<REDACTED_IP>:8080/health": dial tcp <REDACTED_IP>:8080: connect: connection refused
7m10s       Warning   Unhealthy                pod/grid-dashboard-66cb797c94-66qgc      Readiness probe failed: Get "http://<REDACTED_IP>:8080/health": dial tcp <REDACTED_IP>:8080: connect: connection refused
7m8s        Normal    SuccessfulAttachVolume   pod/mongodb-d948b8585-kzcjv              AttachVolume.Attach succeeded for volume "pvc-<REDACTED_UUID>"
7m3s        Normal    Pulled                   pod/meter-service-5b8f45f67f-5tzlj       Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/order-service:latest" in 17.798s (17.798s including waiting). Image size: 75025121 bytes.
7m3s        Normal    Pulled                   pod/meter-service-5b8f45f67f-x8m57       Successfully pulled image "ghcr.io/azure-samples/aks-store-demo/order-service:latest" in 18.114s (18.114s including waiting). Image size: 75025121 bytes.
7m2s        Normal    Created                  pod/meter-service-5b8f45f67f-x8m57       Created container: meter-service
7m2s        Normal    Created                  pod/meter-service-5b8f45f67f-5tzlj       Created container: meter-service
7m2s        Normal    Started                  pod/meter-service-5b8f45f67f-5tzlj       Started container meter-service
7m2s        Normal    Started                  pod/meter-service-5b8f45f67f-x8m57       Started container meter-service
6m58s       Normal    Pulling                  pod/mongodb-d948b8585-kzcjv              Pulling image "mongo:4.4"
6m53s       Warning   Unhealthy                pod/dispatch-service-5589cf949c-76sb4    Liveness probe failed: Get "http://<REDACTED_IP>:3001/health": dial tcp <REDACTED_IP>:3001: connect: connection refused
6m53s       Warning   Unhealthy                pod/dispatch-service-5589cf949c-szzdd    Liveness probe failed: Get "http://<REDACTED_IP>:3001/health": dial tcp <REDACTED_IP>:3001: connect: connection refused
6m48s       Normal    Created                  pod/mongodb-d948b8585-kzcjv              Created container: mongodb
6m48s       Normal    Pulled                   pod/mongodb-d948b8585-kzcjv              Successfully pulled image "mongo:4.4" in 10.076s (10.076s including waiting). Image size: 166163173 bytes.
6m48s       Normal    Started                  pod/mongodb-d948b8585-kzcjv              Started container mongodb
6m47s       Warning   Unhealthy                pod/dispatch-service-5589cf949c-76sb4    Readiness probe failed: Get "http://<REDACTED_IP>:3001/health": dial tcp <REDACTED_IP>:3001: connect: connection refused
6m47s       Warning   Unhealthy                pod/dispatch-service-5589cf949c-szzdd    Readiness probe failed: Get "http://<REDACTED_IP>:3001/health": dial tcp <REDACTED_IP>:3001: connect: connection refused
